Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,50,Irene E. Feldkirchner E.S.,1,NA,38,22,2,2,4,3,20,11,,,0,1,,,103,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,50,Irene E. Feldkirchner E.S.,2,NA,39,28,,4,2,3,14,15,,,0,0,,,105,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,50,Irene E. Feldkirchner E.S.,3,NA,39,37,4,5,4,3,12,13,,,0,0,,,117,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,50,Irene E. Feldkirchner E.S.,UG,NA,4,4,,,3,1,3,,,,0,0,,,15,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,50,Irene E. Feldkirchner E.S.,55,NA,152,99,6,14,23,14,69,45,2,,1,1,2,,428,13,6,12,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,KF,NA,32,8,,3,10,4,20,6,2,,1,0,2,,88,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,1,NA,38,22,2,2,4,3,20,11,,,0,1,,,103,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,2,NA,39,28,,4,2,3,14,15,,,0,0,,,105,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,3,NA,39,37,4,5,4,3,12,13,,,0,0,,,117,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,4,NA,26,33,,4,2,3,11,20,,,0,0,,1,100,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,5,NA,37,36,1,1,1,3,12,13,,,1,0,,,105,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,6,NA,30,46,4,2,6,6,14,12,,,0,1,,1,122,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,7,NA,31,36,2,,8,4,27,13,,,0,0,,,121,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,8,NA,26,44,2,1,5,10,12,11,,,0,0,,,111,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,UG,NA,6,4,1,,3,1,3,,,,0,0,,,18,,,,
2010-2011,35,SOMERSET,1810,GREEN BROOK TOWNSHIP,999,Total,55,NA,304,294,16,22,45,40,145,114,2,,2,2,2,2,990,34,13,25,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,30,Hillsborough H.S.,9,NA,231,225.5,16.5,9,25,13.5,39,38,,,0,0,,,597.5,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,30,Hillsborough H.S.,10,NA,236,226.5,18,8,25,18,28,26,,,0,1,,,586.5,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,30,Hillsborough H.S.,11,NA,247,236,12,20,18.5,18.5,46.5,30,,,4,0,,,632.5,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,30,Hillsborough H.S.,12,NA,217.5,215,19,17,22,11,25,32.5,,,1,1,,,561,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,30,Hillsborough H.S.,UG,NA,13,5,1,,3,,1,1,,,0,0,,,24,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,30,Hillsborough H.S.,55,NA,944.5,908,66.5,54,93.5,61,139.5,127.5,,,5,2,,,2401.5,101,60,20,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,KF,NA,11,7,,,,,1,,,,0,0,,,19,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,KH,NA,25,23,1,,,2,3,9,,,1,0,,,64,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,1,NA,43,25,1,1,4,2,12,14,,,0,0,1,1,104,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,2,NA,33,46,,,1,5,6,10,,,0,0,,,101,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,3,NA,36,43,2,1,2,2,10,14,,,0,0,,,110,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,4,NA,34,36,2,,1,2,3,10,,,0,0,,,88,,,,
