Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,6,NA,20,23,7,6,9,5,6,3,,,0,0,,1,80,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,7,NA,29,22,6,6,4,5,6,1,,,0,0,,,79,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,8,NA,32,32,4,3,5,3,3,4,,,0,0,,,86,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,UG,NA,4,2,3,,2,,,1,,,0,0,,,12,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,55,NA,85,79,20,15,20,13,15,9,,,0,0,,1,257,58,18,5,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,KF,NA,35,21,6,5,9,5,1,5,,,0,0,1,1,89,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,1,NA,36,36,8,5,5,6,8,3,,,0,0,,1,108,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,2,NA,36,20,4,6,4,4,5,5,,,0,0,,,84,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,3,NA,30,31,4,9,6,4,4,6,,,0,0,,1,95,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,4,NA,30,26,6,7,6,4,7,2,,,0,0,,,88,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,5,NA,27,33,4,6,3,4,6,5,,,0,0,,,88,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,UG,NA,8,6,1,2,6,,2,,,,0,0,,,25,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,55,NA,202,173,33,40,39,27,33,26,,,0,0,1,3,577,139,35,39,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,KF,NA,35,21,6,5,9,5,1,5,,,0,0,1,1,89,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,1,NA,36,36,8,5,5,6,8,3,,,0,0,,1,108,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,2,NA,36,20,4,6,4,4,5,5,,,0,0,,,84,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,3,NA,30,31,4,9,6,4,4,6,,,0,0,,1,95,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,4,NA,30,26,6,7,6,4,7,2,,,0,0,,,88,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,5,NA,27,33,4,6,3,4,6,5,,,0,0,,,88,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,6,NA,20,23,7,6,9,5,6,3,,,0,0,,1,80,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,7,NA,29,22,6,6,4,5,6,1,,,0,0,,,79,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,8,NA,32,32,4,3,5,3,3,4,,,0,0,,,86,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,UG,NA,12,8,4,2,8,,2,1,,,0,0,,,37,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,55,NA,287,252,53,55,59,40,48,35,,,0,0,1,4,834,197,53,44,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,10,Atlantic City H.S.,9,NA,53.5,52.5,133,128,129,116,45,30,,,2,1,,,690,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,10,Atlantic City H.S.,10,NA,51,52,87,92.5,86,70,33,34,1,,8,5,1,,520.5,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,10,Atlantic City H.S.,11,NA,51.5,59,90,85,77.5,80,50,32,,,6,2,,,533,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,10,Atlantic City H.S.,12,NA,47.5,50,89,86.5,74,62.5,35,36,,,1,3,,,484.5,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,10,Atlantic City H.S.,UG,NA,6,1,30,19,16,9,5,3,,,0,0,,,89,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,10,Atlantic City H.S.,55,NA,209.5,214.5,429,411,382.5,337.5,168,135,1,,17,11,1,,2317,1240,85.5,185.5,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,PF,NA,,2,1,,3,3,3,3,,,0,0,,,15,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,KF,NA,,1,2,1,30,29,14,9,,,3,1,,,90,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,1,NA,2,,1,3,40,35,11,8,,,1,0,,,101,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,2,NA,2,1,2,2,25,25,13,7,,,4,1,,,82,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,3,NA,1,,2,2,44,22,9,8,,,2,1,,,91,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,4,NA,2,,2,2,31,33,5,8,,,2,4,,,89,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,5,NA,,1,3,1,36,26,8,8,,,3,1,,,87,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,6,NA,,,1,4,19,26,13,12,,,0,0,,,75,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,7,NA,,,1,,32,23,7,13,,,0,0,,,76,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,8,NA,,2,1,1,18,24,7,8,,,3,0,,,64,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,UG,NA,,,2,1,2,2,,2,,,0,0,,,9,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,30,Sovereign Avenue E.S.,55,NA,7,7,18,17,280,248,90,86,,,18,8,,,779,627,67,295,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,KF,NA,,1,8,4,8,8,2,5,,,0,0,1,,37,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,1,NA,,1,5,2,9,13,1,8,,,1,0,,,40,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,2,NA,,2,6,2,6,10,2,3,,,0,0,,,31,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,3,NA,3,1,10,4,8,8,3,3,,,0,0,,1,41,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,4,NA,2,,7,6,6,14,4,2,,,0,0,,,41,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,5,NA,1,,8,6,9,5,3,2,,,0,1,,,35,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,6,NA,1,1,4,4,9,7,2,1,,,0,0,,,29,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,7,NA,3,,9,6,23,11,14,8,,,0,0,,,74,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,8,NA,2,1,3,9,22,20,14,8,,,1,0,,,80,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,50,Chelsea Heights E.S.,55,NA,12,7,60,43,100,96,45,40,,,2,1,1,1,408,329,34,54,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,KF,NA,,1,1,3,32,35,10,12,,,0,0,,,94,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,1,NA,,,4,2,32,35,15,8,,,1,0,,,97,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,2,NA,,,1,1,26,35,13,8,,,0,0,,,84,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,3,NA,1,,6,,27,20,10,9,,,0,2,,,75,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,4,NA,,1,1,1,19,20,11,7,,,1,2,,,63,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,5,NA,,,1,4,17,21,8,13,,,1,3,,,68,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,6,NA,1,,1,3,15,18,4,12,1,,0,0,,,55,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,7,NA,,,2,5,12,16,7,7,1,,0,0,,,50,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,8,NA,,,1,1,12,14,13,7,,,1,0,,,49,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,60,Texas Avenue E.S.,55,NA,2,2,18,20,192,214,91,83,2,,4,7,,,635,535,34,265,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,PF,NA,,,9,11,4,13,5,3,,,1,0,,,46,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,KF,NA,,,27,23,3,9,,2,,,0,0,1,,65,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,1,NA,,1,31,25,6,8,1,2,,,0,0,,,74,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,2,NA,1,,24,19,12,6,1,1,,,0,1,,,65,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,3,NA,1,1,23,17,9,7,,,,,0,0,,,58,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,4,NA,,,21,18,5,6,,3,,,0,1,,,54,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,5,NA,,,17,16,3,7,,1,,,1,0,,,45,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,6,NA,,,19,20,4,,,1,,,0,1,1,,46,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,7,NA,,,17,28,4,6,2,,,,1,0,,,58,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,8,NA,,,16,23,10,2,2,,,,0,0,,,53,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,UG,NA,,,8,,3,,,,,,0,0,,,11,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,70,New York Avenue School,55,NA,2,2,212,200,63,64,11,13,,,3,3,2,,575,502,13,57,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,KF,NA,,2,23,19,,3,,,,,0,0,,,47,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,1,NA,,2,26,25,7,7,,,,,0,0,,,67,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,2,NA,1,2,22,24,6,5,1,,,,0,0,,,61,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,3,NA,,,24,29,5,1,,,,,0,0,,,59,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,4,NA,,,13,21,3,8,,,,,0,0,,,45,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,5,NA,,2,25,24,7,5,,,,,0,0,,,63,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,6,NA,1,1,17,24,8,7,,,,,0,0,,,58,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,7,NA,2,,25,31,7,11,,,,,0,1,,,77,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,8,NA,2,,26,22,7,6,1,1,,,1,0,,,66,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,UG,NA,1,,15,8,21,,,,,,0,0,,,45,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,80,Uptown School Complex E.S.,55,NA,7,9,216,227,71,53,2,1,,,1,1,,,588,517,22,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,PF,NA,,,16,23,16,13,4,8,,,0,0,,,80,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,KF,NA,,,20,10,14,9,,1,,,2,0,,,56,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,1,NA,,1,11,8,11,8,2,,,,0,0,,,41,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,2,NA,,,12,9,11,8,1,2,,,1,0,,,44,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,3,NA,,,7,7,8,10,1,1,,,0,1,1,,36,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,4,NA,1,,6,6,6,7,,,,,0,0,,,26,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,5,NA,,,6,9,5,10,1,,,,0,0,1,,32,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,6,NA,1,,7,6,4,4,,1,,,1,0,,,24,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,UG,NA,,,4,,2,2,,,,,0,0,,,8,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,100,New Jersey Avenue E.S.,55,NA,2,1,89,78,77,71,9,13,,,4,1,2,,347,284,14,40,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,KF,NA,,2,2,1,17,17,10,7,,,8,0,,,64,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,1,NA,1,,,3,14,11,7,9,,,1,1,,,47,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,2,NA,,,4,,14,16,7,6,,,0,1,,1,49,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,3,NA,3,1,3,2,10,13,10,2,,,0,2,,,46,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,4,NA,1,3,2,2,16,11,6,8,,,1,0,,,50,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,5,NA,3,4,,2,12,11,6,11,,,0,1,,,50,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,6,NA,,3,,1,12,15,4,8,,,0,0,,,43,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,UG,NA,,,2,,3,1,,1,,,1,0,,,8,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,120,Richmond Avenue E.S.,55,NA,8,13,13,11,98,95,50,52,,,11,5,,1,357,285,30,121,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,130,Venice Park School,PF,NA,,1,16,8,6,11,5,10,,,0,0,,,57,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,130,Venice Park School,UG,NA,1,,15,3,11,3,4,,,,0,1,,,38,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,130,Venice Park School,55,NA,1,1,31,11,17,14,9,10,,,0,1,,,95,72,4,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,PF,NA,,,14,12,9,19,1,7,,,0,0,,,62,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,KF,NA,,,35,30,1,4,1,,,,0,0,,,71,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,1,NA,,,23,27,2,2,,1,,,0,0,,,55,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,2,NA,,,20,25,4,1,,,,,0,0,,,50,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,3,NA,,,18,24,4,1,,,,,0,0,,,47,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,4,NA,,,24,25,5,2,,,,,0,0,,,56,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,5,NA,,,18,15,4,3,,,,,0,0,,,40,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,6,NA,,,24,33,,3,,,,,0,0,,,60,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,7,NA,,,24,12,4,2,1,,,,0,0,,,43,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,8,NA,,,6,16,6,2,,,,,0,0,,,30,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,UG,NA,,,31,6,16,2,6,1,,,0,0,,,62,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,140,Dr M L King Jr Sch Comp,55,NA,,,237,225,55,41,9,9,,,0,0,,,576,469,30,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,PF,NA,,3,56,54,38,59,18,31,,,1,0,,,260,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,KF,NA,,7,118,91,105,114,37,36,,,13,1,2,,524,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,1,NA,3,5,101,95,121,119,37,36,,,4,1,,,522,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,2,NA,4,5,91,82,104,106,38,27,,,5,3,,1,466,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,3,NA,9,3,93,85,115,82,33,23,,,2,6,1,1,453,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,4,NA,6,4,76,81,91,101,26,28,,,4,7,,,424,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,5,NA,4,7,78,77,93,88,26,35,,,5,6,1,,420,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,6,NA,4,5,73,95,71,80,23,35,1,,1,1,1,,390,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,7,NA,5,,78,82,82,69,31,28,1,,1,1,,,378,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,8,NA,4,3,53,72,75,68,37,24,,,6,0,,,342,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,9,NA,53.5,52.5,133,128,129,116,45,30,,,2,1,,,690,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,10,NA,51,52,87,92.5,86,70,33,34,1,,8,5,1,,520.5,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,11,NA,51.5,59,90,85,77.5,80,50,32,,,6,2,,,533,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,12,NA,47.5,50,89,86.5,74,62.5,35,36,,,1,3,,,484.5,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,UG,NA,8,1,107,37,74,19,15,7,,,1,1,,,270,,,,
2010-2011,1,ATLANTIC,110,ATLANTIC CITY,999,Total,55,NA,250.5,256.5,1323,1243,1335.5,1233.5,484,442,3,,60,38,6,2,6677,4860,333.5,1017.5,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,10,Atlantic Co Institute of Technology,9,NA,39,32,13.5,21,22.5,28.5,6,4,2,,0,0,,3,171.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,10,Atlantic Co Institute of Technology,10,NA,47.5,22.5,15.5,8,21,30,3,1,,2,5,2,2,,159.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,10,Atlantic Co Institute of Technology,11,NA,48,28,18,24.5,15,28.5,4,6,,,0,1,1,5,179,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,10,Atlantic Co Institute of Technology,12,NA,52.5,37.5,15.5,21.5,18.5,19.5,5.5,4,,,0,0,,,174.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,10,Atlantic Co Institute of Technology,UG,NA,1,,,,,0.5,,,,,0,0,,,1.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,10,Atlantic Co Institute of Technology,55,NA,188,120,62.5,75,77,107,18.5,15,2,2,5,3,3,8,686,231,77,2.5,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,999,Total,9,NA,39,32,13.5,21,22.5,28.5,6,4,2,,0,0,,3,171.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,999,Total,10,NA,47.5,22.5,15.5,8,21,30,3,1,,2,5,2,2,,159.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,999,Total,11,NA,48,28,18,24.5,15,28.5,4,6,,,0,1,1,5,179,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,999,Total,12,NA,52.5,37.5,15.5,21.5,18.5,19.5,5.5,4,,,0,0,,,174.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,999,Total,UG,NA,1,,,,,0.5,,,,,0,0,,,1.5,,,,
2010-2011,1,ATLANTIC,120,ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,999,Total,55,NA,188,120,62.5,75,77,107,18.5,15,2,2,5,3,3,8,686,231,77,2.5,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,PF,NA,,1,,,1,1,,,,,0,0,,,3,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,KF,NA,2,,1,,2,,1,,,,0,0,,,6,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,1,NA,1,1,1,,,1,,,,,0,0,,,4,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,2,NA,,,1,,,,,1,,,0,0,,,2,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,3,NA,1,,,1,1,,,,,,0,0,,,3,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,4,NA,1,3,4,,2,,2,,,,0,0,,,12,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,5,NA,2,1,2,1,3,,1,1,,,0,0,,,11,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,6,NA,3,,1,1,,,,,,,0,0,,,5,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,7,NA,,1,,1,2,,,,,,1,0,,,5,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,8,NA,,1,1,,3,,,1,,,0,0,,,6,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,UG,NA,42,22,16,7,8,13,6,2,,,0,0,1,,117,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,30,Atlantic Co Elementary/Middle Sch,55,NA,52,30,27,11,22,15,10,5,,,1,0,1,,174,70,10,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,60,Atlantic Co High School,9,NA,1,,1,1,1,,,,,,0,0,,,4,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,60,Atlantic Co High School,10,NA,1,1,,,,,,1,,,0,0,,,3,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,60,Atlantic Co High School,11,NA,,2.5,1,1,,1,,,,,0,0,,,5.5,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,60,Atlantic Co High School,12,NA,8,2,6,3,2,2,1,2,,,0,0,,,26,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,60,Atlantic Co High School,UG,NA,51,39,19,6,16,13,2,4,1,,0,0,1,,152,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,60,Atlantic Co High School,55,NA,61,44.5,27,11,19,16,3,7,1,,0,0,1,,190.5,51,10.5,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,PF,NA,,1,,,1,1,,,,,0,0,,,3,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,KF,NA,2,,1,,2,,1,,,,0,0,,,6,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,1,NA,1,1,1,,,1,,,,,0,0,,,4,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,2,NA,,,1,,,,,1,,,0,0,,,2,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,3,NA,1,,,1,1,,,,,,0,0,,,3,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,4,NA,1,3,4,,2,,2,,,,0,0,,,12,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,5,NA,2,1,2,1,3,,1,1,,,0,0,,,11,,,,
