Year,COUNTY_ID,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT,SPECED
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,120,Richmond Avenue School,2,NA,1,0,2,5,9,13,7,10,0,0,0,1,0,0,48,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,120,Richmond Avenue School,3,NA,0,0,3,2,19,18,8,8,0,0,0,1,0,1,60,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,120,Richmond Avenue School,4,NA,2,2,1,3,8,11,11,3,0,0,0,3,0,0,44,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,120,Richmond Avenue School,5,NA,2,3,2,1,18,12,6,6,0,0,1,0,0,0,51,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,120,Richmond Avenue School,6,NA,3,4,2,3,18,14,8,13,0,0,0,2,0,0,67,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,120,Richmond Avenue School,UG,NA,0,0,2,0,3,2,0,2,0,0,1,0,0,0,10,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,120,Richmond Avenue School,55,NA,8,11,17,16,108,108,58,69,0,0,12,9,0,1,417,346,29,94,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,130,Venice Park School,PF,NA,0,1,16,10,7,9,3,7,0,0,0,0,0,0,53,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,130,Venice Park School,UG,NA,0,2,10,1,11,3,2,0,0,0,2,0,0,0,31,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,130,Venice Park School,55,NA,0,3,26,11,18,12,5,7,0,0,2,0,0,0,84,70,9,0,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,PF,NA,0,0,24,16,7,7,2,1,0,0,0,0,0,0,57,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,KF,NA,0,0,34,27,6,7,0,1,0,0,0,0,0,0,75,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,1,NA,1,0,35,33,2,3,1,0,0,0,0,0,0,0,75,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,2,NA,0,0,25,27,3,3,0,1,0,0,0,0,0,0,59,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,3,NA,0,0,22,26,4,2,0,0,0,0,0,0,0,0,54,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,4,NA,1,0,21,20,5,1,0,0,0,0,0,0,0,0,48,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,5,NA,0,0,24,22,6,1,1,0,0,0,0,0,0,0,54,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,6,NA,0,0,21,14,3,5,0,0,0,0,0,0,0,0,43,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,7,NA,0,0,27,29,1,3,0,0,0,0,0,0,0,0,60,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,8,NA,0,0,25,17,16,15,5,5,1,0,0,0,0,0,84,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,UG,NA,0,0,26,6,14,4,3,0,0,0,0,0,0,0,53,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,55,NA,2,0,284,237,67,51,12,8,1,0,0,0,0,0,662,573,41,3,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,PF,NA,1,2,69,60,35,47,14,23,0,0,1,0,1,0,253,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,KF,NA,1,6,110,111,117,127,35,54,0,0,5,5,0,0,571,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,1,NA,2,5,118,104,104,115,34,41,0,0,14,5,2,0,544,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,2,NA,3,3,100,90,109,111,34,40,0,0,3,1,0,0,494,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,3,NA,3,4,83,81,107,104,42,29,0,0,5,4,0,1,463,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,4,NA,8,4,87,83,106,87,35,28,0,0,5,3,1,1,448,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,5,NA,9,4,83,79,94,94,32,30,0,0,5,7,1,0,438,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,6,NA,4,6,89,71,85,90,30,36,0,0,5,7,1,0,424,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,7,NA,3,4,74,84,64,74,26,35,1,0,1,2,1,0,369,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,8,NA,3,1,74,81,82,66,29,28,1,0,2,1,0,0,368,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,9,NA,66,68,97,96,117,103.5,56,31,0,0,6,1,0,0,641.5,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,10,NA,46.5,51,83,76,84,74,44,31,0,0,3,0,0,0,492.5,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,11,NA,50,51,77,72.5,73.5,73.5,42,39,1,0,6,5,1,0,491.5,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,12,NA,44.5,56,66,64,64.5,69,46,36,0,0,6,4,0,0,456,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,UG,NA,5,3,83,21,66,21,9,4,0,0,4,0,0,0,216,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,999,District Total,55,NA,249,268,1293,1173.5,1308,1256,508,485,3,0,71,45,8,2,6669.5,5394,301,628,0,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,10,Atlantic County Institute of Technology,9,NA,62.5,43,28,47,41,49.5,9,13,4,0,0,0,3,5,305,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,10,Atlantic County Institute of Technology,10,NA,39.5,23.5,11.5,20,22,27.5,6,4,1.5,0,0,0,1,3,159.5,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,10,Atlantic County Institute of Technology,11,NA,56,34.5,16,15,24,39.5,3,1,0,2,5,2,1,0,199,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,10,Atlantic County Institute of Technology,12,NA,48,26,18.5,24.5,17,30.5,3,4,0,0,0,1,2,3.5,178,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,10,Atlantic County Institute of Technology,UG,NA,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,10,Atlantic County Institute of Technology,55,NA,206.5,127,74,107,104,147,21,22,5.5,2,5,3,7,11.5,842.5,358,77,1.5,0,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,999,District Total,9,NA,62.5,43,28,47,41,49.5,9,13,4,0,0,0,3,5,305,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,999,District Total,10,NA,39.5,23.5,11.5,20,22,27.5,6,4,1.5,0,0,0,1,3,159.5,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,999,District Total,11,NA,56,34.5,16,15,24,39.5,3,1,0,2,5,2,1,0,199,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,999,District Total,12,NA,48,26,18.5,24.5,17,30.5,3,4,0,0,0,1,2,3.5,178,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,999,District Total,UG,NA,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,,,,,
2011-2012,1,ATLANTIC,120,Atlantic County Vocational School District,999,District Total,55,NA,206.5,127,74,107,104,147,21,22,5.5,2,5,3,7,11.5,842.5,358,77,1.5,0,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,PF,NA,1,0,0,0,3,2,0,0,0,0,0,0,0,0,6,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,KF,NA,1,1,0,1,1,2,1,1,0,0,0,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,1,NA,1,0,2,0,3,0,1,1,0,0,0,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,2,NA,3,0,4,0,1,1,1,0,0,0,0,0,0,0,10,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,3,NA,1,0,2,0,3,1,0,1,0,0,0,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,4,NA,1,0,2,2,2,1,0,0,0,0,0,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,5,NA,1,0,4,0,2,0,2,0,0,0,0,0,0,0,9,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,6,NA,1,1,3,1,5,1,1,1,0,0,0,0,0,0,14,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,7,NA,2,1,4,2,4,0,0,0,0,0,0,0,0,0,13,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,8,NA,1,1,3,1,1,0,0,0,0,0,1,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,UG,NA,38,19,11,5,12,11,5,1,0,0,0,0,0,1,103,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,30,Atlantic County Elementary and Middle Schools,55,NA,51,23,35,12,37,19,11,5,0,0,1,0,0,1,195,71,15,0,0,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,60,Atlantic County High School,9,NA,0,1,1,1,2,1,0,1,0,0,0,0,0,0,7,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,60,Atlantic County High School,10,NA,2,2,2,2,2,1,0,0,0,0,0,0,0,0,11,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,60,Atlantic County High School,11,NA,1,0,1,1,0,2,0,1,0,0,0,0,0,0,6,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,60,Atlantic County High School,12,NA,11,5,12,7,8,2,1,0,0,0,0,1,0,0,47,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,60,Atlantic County High School,UG,NA,51,36,15,5,13,15,3,3,1,0,0,0,2,0,144,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,60,Atlantic County High School,55,NA,65,44,31,16,25,21,4,5,1,0,0,1,2,0,215,67,18,0,0,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,PF,NA,1,0,0,0,3,2,0,0,0,0,0,0,0,0,6,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,KF,NA,1,1,0,1,1,2,1,1,0,0,0,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,1,NA,1,0,2,0,3,0,1,1,0,0,0,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,2,NA,3,0,4,0,1,1,1,0,0,0,0,0,0,0,10,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,3,NA,1,0,2,0,3,1,0,1,0,0,0,0,0,0,8,,,,,
