COUNTY_ID,COUNTY_NAME,DIST_ID,LEA_NAME,SCHOOL_ID,SCHOOL_NAME,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_PRICE_LUNCH,LEP,MIGRANT,White_total,Black_total,Hispanic_total,Asian_total,Other_total,White_pcnt,black_pnct,Hispanic_pnct,Asian_pnct,Other_pnct,Diversity_index,District_diversity_index,DI_diff_btwn_schl_distrct,District_pnct_white,Pnct_white_diff
31,PASSAIC,5650,WEST MILFORD TWP,042,Apshawa Elementary School,55,TOTAL,127,112,3,1,10,8,8,4,0,0,0,0,3,0,276,43,3,12,0,239,4,18,12,3,0.865942029,0.014492754,0.065217391,0.043478261,0.010869565,0.243672548,0.170021845,43.31837618,0.909195073,-4.757289755
25,MONMOUTH,2105,HAZLET TWP,105,Hazlet Middle School,55,TOTAL,228,186,3,4,20,21,8,5,0,0,0,0,1,2,478,68,17,7,0,414,7,41,13,3,0.866108787,0.014644351,0.085774059,0.027196653,0.006276151,0.241504876,0.29728728,-18.76380462,0.830051299,4.344007127
25,MONMOUTH,3160,MIDDLETOWN TWP,140,Navesink Elementary School,55,TOTAL,111,134,6,2,9,6,2,3,0,1,0,0,6,2,282,36,4,3,0,245,8,15,5,9,0.868794326,0.028368794,0.053191489,0.017730496,0.031914894,0.240229365,0.207254276,15.91045014,0.887879103,-2.149479171
13,ESSEX,0760,CEDAR GROVE TWP,050,CEDAR GROVE HIGH SCHOOL,55,TOTAL,219,214,5,2,20,14,12,13,0,0,0,0,0,0,499,17,4,3,0,433,7,34,25,0,0.867735471,0.014028056,0.068136273,0.0501002,0,0.239685784,0.267498593,-10.39736618,0.851183064,1.94463543
13,ESSEX,5370,VERONA BORO,090,Forest Avenue School,55,TOTAL,97,108,1,1,7,9,2,4,0,0,0,0,6,1,236,0,0,0,0,205,2,16,6,7,0.868644068,0.008474576,0.06779661,0.025423729,0.029661017,0.239263143,0.336430373,-28.8818247,0.806481697,7.707846394
19,HUNTERDON,1376,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,030,WEST AMWELL TWP SCHOOL,55,TOTAL,91,94,3,1,8,6,1,0,0,0,0,0,4,5,213,15,3,1,0,185,4,14,1,9,0.868544601,0.018779343,0.0657277,0.004694836,0.042253521,0.23915008,0.382452561,-37.46934783,0.768169761,13.06675226
07,CAMDEN,3420,MOUNT EPHRAIM BORO,020,Raymond W. Kershaw School,55,TOTAL,89,70,3,3,6,6,1,1,0,0,0,0,2,2,183,57,17,1,0,159,6,12,2,4,0.868852459,0.032786885,0.06557377,0.010928962,0.021857923,0.239123294,0.253119616,-5.529528791,0.860411899,0.980990582
05,BURLINGTON,3080,MEDFORD TWP,070,Taunton Forge Elementary School,55,TOTAL,123,116,1,1,5,5,5,2,0,0,0,0,6,11,275,5,9,0,0,239,2,10,7,17,0.869090909,0.007272727,0.036363636,0.025454545,0.061818182,0.238836364,0.241629536,-1.155973274,0.867917586,0.135188254
27,MORRIS,2380,JEFFERSON TWP,020,Jefferson Township High School,55,TOTAL,465.5,410,4,8,29,40,24,15,2,1,0,0,3,6,1007.5,76.5,25,1,0,875.5,12,69,39,12,0.86898263,0.01191067,0.068486352,0.038709677,0.01191067,0.238396641,0.285319192,-16.44563453,0.84029211,3.414350805
07,CAMDEN,1900,HADDONFIELD BORO,080,Elizabeth Haddon School,55,TOTAL,158,148,0,2,10,10,1,6,0,0,0,0,11,6,352,1,0,0,0,306,2,20,7,17,0.869318182,0.005681818,0.056818182,0.019886364,0.048295455,0.238297392,0.202758777,17.52753468,0.890977444,-2.430955121
