COUNTY_ID	COUNTY_NAME	DIST_ID	LEA_NAME	SCHOOL_ID	FULL_ID	SCHOOL_NAME	PRGCODE	GRADE_LEVEL	ROW_TOTAL	FREE_LUNCH	REDUCED_PRICE_LUNCH	LEP	MIGRANT	White_total	Black_total	Hispanic_total	Asian_total	Other_total	White_pcnt	black_pnct	Hispanic_pnct	Asian_pnct	Other_pnct	Diversity_index	Address_1	Address_2	City	State	Zip	Concatenate	Concatenate sans zip
13	ESSEX	410	BLOOMFIELD TWP	150	410150	WATSESSING ELEMENTARY	55	TOTAL	302	170	35	27	0	51	121	111	8	11	0.168874172	0.400662252	0.367549669	0.026490066	0.036423841	0.673830095	71 Prospect Street	 	Bloomfield	NJ	07003-3223	71 Prospect Street, Bloomfield, NJ 07003-3223	71 Prospect Street, Bloomfield, NJ
13	ESSEX	410	BLOOMFIELD TWP	130	410130	FRANKLIN ELEMENTARY	55	TOTAL	338	118	28	20	0	146	56	126	7	3	0.431952663	0.165680473	0.372781065	0.020710059	0.00887574	0.64649347	85 Curtis Street	 	Bloomfield	NJ	07003-3875	85 Curtis Street, Bloomfield, NJ 07003-3875	85 Curtis Street, Bloomfield, NJ
13	ESSEX	410	BLOOMFIELD TWP	50	41050	BERKELEY ELEMENTARY	55	TOTAL	438	264	43	24	0	49	134	220	25	10	0.111872146	0.305936073	0.502283105	0.057077626	0.02283105	0.637820312	351 Bloomfield Ave	 	Bloomfield	NJ	07003-4804	351 Bloomfield Ave, Bloomfield, NJ 07003-4804	351 Bloomfield Ave, Bloomfield, NJ
13	ESSEX	410	BLOOMFIELD TWP	60	41060	BROOKDALE ELEMENTARY	55	TOTAL	358	26	5	1	0	210	31	72	25	20	0.586592179	0.086592179	0.201117318	0.069832402	0.055865922	0.599965669	1230 Broad Street	 	Bloomfield	NJ	07003-3031	1230 Broad Street, Bloomfield, NJ 07003-3031	1230 Broad Street, Bloomfield, NJ
13	ESSEX	410	BLOOMFIELD TWP	80	41080	CARTERET ELEMENTARY	55	TOTAL	438	252	64	11	0	34	131	240	4	29	0.077625571	0.299086758	0.547945205	0.00913242	0.066210046	0.599810263	158 Grove Street	 	Bloomfield	NJ	07003-5650	158 Grove Street, Bloomfield, NJ 07003-5650	158 Grove Street, Bloomfield, NJ
13	ESSEX	410	BLOOMFIELD TWP	140	410140	OAK VIEW ELEMENTARY	55	TOTAL	369	22	9	2	0	229	30	61	28	21	0.620596206	0.081300813	0.165311653	0.075880759	0.056910569	0.571925882	150 Garrabrant Avenue	 	Bloomfield	NJ	07003	150 Garrabrant Avenue, Bloomfield, NJ 7003	150 Garrabrant Avenue, Bloomfield, NJ
31	PASSAIC	420	BLOOMINGDALE BORO	30	42030	Samuel R. Donald Elementary School	55	TOTAL	181	36	4	0	0	131	8	36	2	4	0.723756906	0.044198895	0.198895028	0.011049724	0.022099448	0.434052685	29 CAPTOLENE AVENUE	 	BLOOMINGDALE	NJ	07403	29 Captolene Avenue, Bloomingdale, NJ 7403	29 Captolene Avenue, Bloomingdale, NJ
31	PASSAIC	420	BLOOMINGDALE BORO	20	42020	Martha B. Day Elementary School	55	TOTAL	138	33	1	0	0	100	5	27	0	6	0.724637681	0.036231884	0.195652174	0	0.043478261	0.433417349	225 RAFKIND ROAD	 	BLOOMINGDALE	NJ	07403	225 Rafkind Road, Bloomingdale, NJ 7403	225 Rafkind Road, Bloomingdale, NJ
31	PASSAIC	420	BLOOMINGDALE BORO	50	42050	Walter T. Bergen Middle School	55	TOTAL	271	43	6	0	0	214	6	41	6	4	0.789667897	0.022140221	0.151291513	0.022140221	0.014760148	0.35233725	225 GLENWILD AVENUE	 	BLOOMINGDALE	NJ	07403	225 Glenwild Avenue, Bloomingdale, NJ 7403	225 Glenwild Avenue, Bloomingdale, NJ
19	HUNTERDON	430	BLOOMSBURY BORO	20	43020	Bloomsbury School	55	TOTAL	120	15	4	0	0	110	9	1	0	0	0.916666667	0.075	0.008333333	0	0	0.154027778	20 Main Street	 	Bloomsbury	NJ	08804-9538	20 Main Street, Bloomsbury, NJ 08804-9538	20 Main Street, Bloomsbury, NJ
3	BERGEN	440	BOGOTA BORO	50	44050	Lillian M. Steen	55	TOTAL	322	118	34	20	0	48	33	191	38	12	0.149068323	0.102484472	0.593167702	0.118012422	0.037267081	0.600111878	134 W. Main	 	BOGOTA	NJ	07603	134 W. Main, Bogota, NJ 7603	134 W. Main, Bogota, NJ
3	BERGEN	440	BOGOTA BORO	30	44030	E. Roy Bixby	55	TOTAL	304	117	24	24	1	71	14	186	28	5	0.233552632	0.046052632	0.611842105	0.092105263	0.016447368	0.560227666	25 FISCHER AVE	 	BOGOTA	NJ	07603	25 Fischer Ave, Bogota, NJ 7603	25 Fischer Ave, Bogota, NJ
3	BERGEN	440	BOGOTA BORO	20	44020	Bogota Jr./Sr. High School	55	TOTAL	502.5	193	67	25	0	99	46	313.5	39	5	0.197014925	0.091542289	0.623880597	0.07761194	0.009950249	0.557455509	2 HENRY C  LUTHIN PLACE	 	BOGOTA	NJ	07603	2 Henry C  Luthin Place, Bogota, NJ 7603	2 Henry C  Luthin Place, Bogota, NJ
27	MORRIS	450	BOONTON TOWN	30	45030	John Hill School	55	TOTAL	626	211	35	33	1	330	66	102	126	2	0.52715655	0.10543131	0.162939297	0.201277955	0.003194888	0.643917974	435 LATHROP AVENUE	 	BOONTON	NJ	07005-2221	435 Lathrop Avenue, Boonton, NJ 07005-2221	435 Lathrop Avenue, Boonton, NJ
27	MORRIS	450	BOONTON TOWN	20	45020	Boonton High School	55	TOTAL	593	123	35	19	6	378	37	100	65	13	0.637436762	0.062394604	0.168634064	0.109612142	0.021922428	0.548848426	306 LATHROP AVENUE	 	BOONTON	NJ	07005-2220	306 Lathrop Avenue, Boonton, NJ 07005-2220	306 Lathrop Avenue, Boonton, NJ
27	MORRIS	450	BOONTON TOWN	40	45040	School Street School	55	TOTAL	140	31	3	2	0	91	9	19	16	5	0.65	0.064285714	0.135714286	0.114285714	0.035714286	0.540612245	720 BIRCH STREET	 	BOONTON	NJ	07005	720 Birch Street, Boonton, NJ 7005	720 Birch Street, Boonton, NJ
27	MORRIS	460	BOONTON TWP	60	46060	Rockaway Valley School	55	TOTAL	452	8	0	0	0	397	10	13	26	6	0.878318584	0.022123894	0.028761062	0.057522124	0.013274336	0.223754797	11 VALLEY ROAD	 	BOONTON TOWNSHIP	NJ	07005	11 Valley Road, Boonton Township, NJ 7005	11 Valley Road, Boonton Township, NJ
5	BURLINGTON	475	BORDENTOWN REGIONAL	100	475100	Peter Muschal Elementary	55	TOTAL	573	69	15	14	0	368	78	59	67	1	0.642233857	0.136125654	0.102966841	0.116928447	0.001745201	0.544728001	323 WARD AVE	 	BORDENTOWN	NJ	08505-2326	323 Ward Ave, Bordentown, NJ 08505-2326	323 Ward Ave, Bordentown, NJ
5	BURLINGTON	475	BORDENTOWN REGIONAL	50	47550	Bordentown Regional High School	55	TOTAL	721	90	11	16	0	474	104	73	65	5	0.65742025	0.144244105	0.101248266	0.090152566	0.006934813	0.528565465	318 WARD AVE	 	BORDENTOWN	NJ	08505-9615	318 Ward Ave, Bordentown, NJ 08505-9615	318 Ward Ave, Bordentown, NJ
5	BURLINGTON	475	BORDENTOWN REGIONAL	55	47555	Bordentown Regional Middle School	55	TOTAL	614	65	8	16	0	406	93	44	66	5	0.661237785	0.151465798	0.071661238	0.107491857	0.008143322	0.523066558	50 DUNNS MILL ROAD	 	BORDENTOWN	NJ	08505	50 Dunns Mill Road, Bordentown, NJ 8505	50 Dunns Mill Road, Bordentown, NJ
5	BURLINGTON	475	BORDENTOWN REGIONAL	60	47560	Clara Barton Elementary	55	TOTAL	234	50	11	0	0	168	30	25	9	2	0.717948718	0.128205128	0.106837607	0.038461538	0.008547009	0.455146468	100 CROSSWICKS ST	 	BORDENTOWN	NJ	08505-1739	100 Crosswicks St, Bordentown, NJ 08505-1739	100 Crosswicks St, Bordentown, NJ
5	BURLINGTON	475	BORDENTOWN REGIONAL	90	47590	Mac Farland Intermediate	55	TOTAL	409	35	8	13	0	296	41	25	45	2	0.723716381	0.100244499	0.061124694	0.11002445	0.004889976	0.45032012	87 CROSSWICKS ST	 	BORDENTOWN	NJ	08505-1767	87 Crosswicks St, Bordentown, NJ 08505-1767	87 Crosswicks St, Bordentown, NJ
35	SOMERSET	490	BOUND BROOK BORO	20	49020	BOUND BROOK HIGH SCHOOL	55	TOTAL	553.5	286	91.5	53	0	109.5	76	354	10	4	0.197831978	0.13730804	0.639566396	0.018066847	0.007226739	0.532585199	111 West Union Avenue	 	BOUND BROOK	NJ	08805	111 West Union Avenue, Bound Brook, NJ 8805	111 West Union Avenue, Bound Brook, NJ
35	SOMERSET	490	BOUND BROOK BORO	302	490302	Community Middle School	55	TOTAL	227	142	29	15	0	41	24	156	4	2	0.18061674	0.105726872	0.68722467	0.017621145	0.008810573	0.483533544	120 East Second Street	 	BOUND BROOK	NJ	08805	120 East Second Street, Bound Brook, NJ 8805	120 East Second Street, Bound Brook, NJ
