CO_CODE,COUNTY_NAME,DIST_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,POSITION,GENDER,WHITE,WH_PCT,BLACK,BL_PCT,HISPANIC,HI_PCT,ASIAN,AS_PCT,AMERICAN_INDIAN,AM_PCT,PACIFIC_ISLANDER,PI_PCT,OTHER,OT_PCT,MIN_PCT,TOTAL,TEACH_CONCAT_CODE,Student_percent_minority,Teach_vs_student_pnct_minority
23,MIDDLESEX,1290,EDISON TWP,90,James Madison Intermediate School,TEACHER,Total,32.7,82.4,1,2.5,5,12.6,1,2.5,0,0,0,0,0,0,17.6,39.7,1403,0.939144738,-76.3144738
33,SALEM,4630,SALEM CITY,90,Salem Middle School,TEACHER,Total,35,83.3,7,16.7,0,0,0,0,0,0,0,0,0,0,16.7,42,4753,0.92929293,-76.229293
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,10,Middlesex County Voc Academy Math Science &Engineering Techn,TEACHER,Total,12,92.3,1,7.7,0,0,0,0,0,0,0,0,0,0,7.7,13,3183,0.839285714,-76.2285714
17,HUDSON,2410,KEARNY TOWN,90,Lincoln Middle School,TEACHER,Total,61.5,89.8,1,1.5,6,8.8,0,0,0,0,0,0,0,0,10.2,68.5,2517,0.864253394,-76.2253394
80,CHARTERS,8140,Village CS,990,The Village Charter School,TEACHER,Total,29,78.4,4,10.8,2,5.4,2,5.4,0,0,0,0,0,0,21.6,37,9210,0.977715877,-76.1715877
9,CAPE MAY,5340,UPPER TWP,30,Upper Township Middle School,TEACHER,Total,41.6,97.7,0,0,1,2.3,0,0,0,0,0,0,0,0,2.3,42.6,5379,0.782797172,-75.9797172
23,MIDDLESEX,4090,PERTH AMBOY CITY,75,Ignacio Cruz Early Childhood Center,TEACHER,Total,50,76.9,1,1.5,13,20,1,1.5,0,0,0,0,0,0,23.1,65,4188,0.99032258,-75.932258
23,MIDDLESEX,5850,WOODBRIDGE TWP,320,WOODBINE AVENUE ELEMENTARY SCHOOL,TEACHER,Total,30,94.3,0.8,2.5,1,3.1,0,0,0,0,0,0,0,0,5.7,31.8,6193,0.816029143,-75.9029143
23,MIDDLESEX,1290,EDISON TWP,65,Benjamin Franklin Elementary School,TEACHER,Total,48,98,0,0,0,0,1,2,0,0,0,0,0,0,2,49,1378,0.778317153,-75.8317153
23,MIDDLESEX,1290,EDISON TWP,55,John Adams Middle School,TEACHER,Total,57.4,85,4,5.9,3.1,4.6,3,4.4,0,0,0,0,0,0,15,67.5,1368,0.90674712,-75.674712
31,PASSAIC,4010,PATERSON CITY,325,NORMAN S WEIR,TEACHER,Total,22,78.6,3,10.7,2,7.1,1,3.6,0,0,0,0,0,0,21.4,28,4366,0.970099668,-75.6099668
3,BERGEN,300,BERGENFIELD BORO,60,Jefferson Elementary School,TEACHER,Total,17.3,93.5,0,0,0.2,1.1,0,0,1,5.4,0,0,0,0,6.5,18.5,363,0.820512821,-75.5512821
31,PASSAIC,900,CLIFTON CITY,230,School #17,TEACHER,Total,39,91.8,0,0,2.5,5.9,1,2.4,0,0,0,0,0,0,8.2,42.5,1161,0.834697217,-75.2697217
27,MORRIS,3950,PARSIPPANY-TROY HILLS TWP,62,Eastlake Elementary School,TEACHER,Total,29.1,99.3,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0.7,29.3,4039,0.758730158,-75.1730158
80,CHARTERS,6232,Environment Community CS,920,Environment Community Opportunity (ECO) Charter School,TEACHER,Total,13.5,76.8,1.1,6.1,2,11.4,1,5.7,0,0,0,0,0,0,23.2,17.6,7232,0.983695652,-75.1695652
31,PASSAIC,900,CLIFTON CITY,200,School #15,TEACHER,Total,25,96.2,0,0,1,3.8,0,0,0,0,0,0,0,0,3.8,26,1131,0.789473683,-75.1473683
35,SOMERSET,4805,SOMERSET CO ED SERV COMM,300,The Career Center of the SCESC,TEACHER,Total,3.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,5140,0.75,-75
3,BERGEN,2740,LODI BOROUGH,65,Hilltop School,TEACHER,Total,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2808,0.749999999,-74.9999999
17,HUDSON,2060,HARRISON TOWN,60,Lincoln Elementary School,TEACHER,Total,44.5,91.8,0,0,4,8.2,0,0,0,0,0,0,0,0,8.2,48.5,2137,0.831884058,-74.9884058
17,HUDSON,2210,HOBOKEN CITY,65,Thomas G. Connors,TEACHER,Total,21.4,78.1,2,7.3,3,10.9,1,3.6,0,0,0,0,0,0,21.9,27.4,2292,0.968750001,-74.9750001
13,ESSEX,1390,ESSEX CO VOC-TECH,80,West Caldwell Tech,TEACHER,Total,26.3,81.4,3,9.3,3,9.3,0,0,0,0,0,0,0,0,18.6,32.3,1483,0.934931508,-74.8931508
3,BERGEN,1380,ENGLEWOOD CLIFFS BORO,60,Upper School,TEACHER,Total,29,82.9,0,0,3,8.6,3,8.6,0,0,0,0,0,0,17.1,35,1443,0.919661733,-74.8661733
23,MIDDLESEX,1290,EDISON TWP,104,Martin Luther King Elementary School,TEACHER,Total,37,82.2,3,6.7,2,4.4,3,6.7,0,0,0,0,0,0,17.8,45,1417,0.926493109,-74.8493109
3,BERGEN,4380,RIDGEFIELD PARK TWP,300,Thomas Jefferson Early Learning Center,TEACHER,Total,17,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4683,0.7481203,-74.81203
80,CHARTERS,7109,LEAP Academy University CS,931,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,TEACHER,Total,83,74.8,11,9.9,13,11.7,4,3.6,0,0,0,0,0,0,25.2,111,8120,0.998607242,-74.6607242
11,CUMBERLAND,1460,FAIRFIELD TWP,70,Fairfield Township School,TEACHER,Total,41,85.4,6,12.5,1,2.1,0,0,0,0,0,0,0,0,14.6,48,1541,0.8921875,-74.61875
23,MIDDLESEX,4860,SOUTH BRUNSWICK TWP,95,Greenbrook Elementary School,TEACHER,Total,33.2,97.1,0,0,1,2.9,0,0,0,0,0,0,0,0,2.9,34.2,4978,0.772833724,-74.3833724
23,MIDDLESEX,3290,MONROE TWP,60,Oak Tree Elementary School,TEACHER,Total,47.5,96,0,0,0,0,2,4,0,0,0,0,0,0,4,49.5,3373,0.783471074,-74.3471074
13,ESSEX,410,BLOOMFIELD TWP,150,WATSESSING ELEMENTARY,TEACHER,Total,26,91.2,1,3.5,1,3.5,0.5,1.8,0,0,0,0,0,0,8.8,28.5,573,0.831125828,-74.3125828
11,CUMBERLAND,540,BRIDGETON CITY,60,Indian Ave School,TEACHER,Total,46.5,79.5,5,8.5,6,10.3,1,1.7,0,0,0,0,0,0,20.5,58.5,611,0.948087432,-74.3087432
25,MONMOUTH,3510,NEPTUNE TWP,61,Gables Elementary School,TEACHER,Total,22,84.6,3,11.5,0,0,0,0,1,3.8,0,0,0,0,15.4,26,3596,0.896666666,-74.2666666
23,MIDDLESEX,4970,SPOTSWOOD BORO,40,Spotswood High School,TEACHER,Total,62,100,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5033,0.742349457,-74.2349457
3,BERGEN,3170,MIDLAND PARK BORO,70,Highland Elementary School,TEACHER,Total,31.9,94.1,0,0,2,5.9,0,0,0,0,0,0,0,0,5.9,33.9,3243,0.801292407,-74.2292407
35,SOMERSET,1610,FRANKLIN TWP,100,Hillcrest School,TEACHER,Total,37.5,89.3,1,2.4,1,2.4,2.5,6,0,0,0,0,0,0,10.7,42,1745,0.848699764,-74.1699764
39,UNION,2660,LINDEN CITY,120,Number 5,TEACHER,Total,18,75,3,12.5,2,8.3,0,0,1,4.2,0,0,0,0,25,24,2819,0.990506329,-74.0506329
25,MONMOUTH,1260,EATONTOWN BORO,60,Margaret L Vetter,TEACHER,Total,28.5,96.6,1,3.4,0,0,0,0,0,0,0,0,0,0,3.4,29.5,1345,0.773333333,-73.9333333
3,BERGEN,1580,FRANKLIN LAKES BORO,30,WOODSIDE AVENUE SCHOOL,TEACHER,Total,26.4,96.3,0,0,0,0,1,3.7,0,0,0,0,0,0,3.7,27.4,1613,0.775280899,-73.8280899
3,BERGEN,300,BERGENFIELD BORO,70,Lincoln Elementary School,TEACHER,Total,23.1,87.8,0,0,1.2,4.6,1,3.8,0,0,1,3.8,0,0,12.2,26.3,373,0.86,-73.8
11,CUMBERLAND,540,BRIDGETON CITY,100,Quarter Mile Land School,TEACHER,Total,27,79.4,4,11.8,3,8.8,0,0,0,0,0,0,0,0,20.6,34,651,0.943786982,-73.7786982
